# Praise & Harmony library sort numbers (stable). num\ttitle
1	10,000 Reasons
2	A Mansion, Robe and Crown
3	A Mighty Fortress
4	A Mighty Fortress is Our God
5	A New Anointing, with claps
6	A New Anointing, without claps
7	A Wonderful Savior
8	Abide with Me
9	Above All
10	Agnus Dei
11	All Creatures Of Our God And King
12	All Hail The Power Of Jesus Name
13	All My Hope
14	All the Glory Belongs to You
15	All To Us
16	Amazing Grace (My Chains Are Gone)
17	Amazing Grace (Recording)
18	Amazing Grace (Traditional)
19	Amen
20	An Empty Mansion
21	Ancient of Days One (With Claps)
22	Ancient of Days One (Without Claps)
23	Ancient Words
24	And Can It Be
25	Angels From the Realms of Glory
26	Angels Watching Over Me
27	Angels We Have Heard on High
28	Anywhere is Home
29	Arise
30	As the Deer
31	As the Deer Thirsts For the Water
32	At The Cross (Love Ran Red)
33	At The Name Of Jesus
34	Awesome
35	Awesome God (Lead)
36	Be Still and Know
37	Be Still My Soul
38	Be Unto Your Name
39	Be With Me Lord
40	Beautifiul One
41	Beautiful Jesus
42	Beautiful Lamb Final
43	Beautiful Star of Bethlehem
44	Beautiful Things
45	Because He Lives (Amen)
46	Before The Throne Of God
47	Behold Our God
48	Better Than Life
49	Beyond This Land of Parting
50	Blessed Assurance
51	Blessed Be The Lord God Almighty
52	Blessed Be The Name Of The Lord
53	Blessed Be Your Name
54	Build My Life
55	Build Your Kingdom Here
56	By Faith
57	Calvary
58	Can You Count the Stars
59	Celebrate Jesus
60	Change My Heart OGod
61	Christ Above Me
62	Christ Is Risen
63	Christ is Risen, He is Risen Indeed
64	Christ The Lord Is Risen Today
65	Christ The Rock
66	Christ We Do All Adore Thee
67	Christian Jubilee
68	Christian Jubilee (Lead)
69	Christians, Awake, Salute the Happy Morn
70	Come Let Us Sing
71	Come People of the Risen King
72	Come Share The Lord
73	Come Share The Lord,cup
74	Come Thou Almighty King
75	Come, Let Us All Unite to Sing
76	Come, Let Us Worship and Bow Down
77	Come, Now is the Time to Worship
