page	A_title	A_vc	B_title	B_vc
2	2 · We Praise Thee O God	5	2 · Amazing Grace	3
3	3 · Hallelujah Praise Jehovah	3	3 · At Even When the Sun Was Set	5
4	4 · To God Be the Glory	2	4 · A Beautiful Life	3
6	6 · All Creatures of Our God	4	6 · A Joyful Song	4
7	7 · Immortal Invisable	4	7 · All Things Bright and Beautiful	3
8	8 · Let Every Heart Rejoice	2	8 · A Blessing in Prayer	4
10	10 · A Mighty Fortress	4	10 · A Home up in Heaven	3
12	12 · Praise To God Immortal	3	12 · Halleujah Praise Jehovah	3
13	13 · Day is Dying in the West	4	13 · For the Beauty of the Earth	3
15	15 · Step by Step	1	15 · A Hymn of Praise	4
16	16 · Holy God We Praise Your Name	4	16 · Holy Holy Holy	3
17	17 · Praise God	4	17 · A Charge to Keep I Have	3
18	18 · Faithful Love	2	18 · All Things Praise Thee	3
19	19 · Come Thou Almighty King	3	19 · Praise the Lord O My Soul	3
20	20 · We Worship and Adore You	1	20 · Our Day of Praise Is Done	3
21	21 · There is a Savior (+1 more)	1	21 · Praise the Lord	4
23	23 · Our God He Is Alive	4	23 · Praise and Adoration	3
24	24 · Blessed be the Name of the Lord	1	24 · Let Us with a Gladsome Mind	4
25	25 · Like A River Glorious	3	25 · A Mighty Fortress	3
26	26 · God Moves in a Mysterious Way	5	26 · To God Be the Glory	3
27	27 · Blessed Be Your name	2	27 · Praise Ye the Lord of Glory	2
28	28 · Give to Our God Immortal	5	28 · Beyond the Sunset (Brock)	4
29	29 · Hallelujah Chorus	1	29 · God of Mercy and of Might	2
31	31 · Be Still and Know	2	31 · A Hill Called Mount Calvary	3
32	32 · Holy is the Lord	2	32 · The Great Physician	3
33	33 · Holy Holy-Owens	4	33 · Sound Forth His Praise Abroad	3
34	34 · Praise the Lord O Heavens	2	34 · We Freely Lift our Hearts to Thee	4
35	35 · It is Good to Sing Your Praises	3	35 · All People That on Earth Do Dwell	3
36	36 · My Tribute	1	36 · Welcome Delightful Morn	3
38	38 · Awesome God	1	38 · Again the Lord of Light and Life	4
39	39 · Awesome Power	1	39 · He Keeps Me Singing	3
40	40 · Holy Holy Holy is the Lord	1	40 · Jesus Loves the Little Children	1
41	41 · Mighty is Our God	2	41 · A Childs Evening Prayer	3
42	42 · How Majestic is Thy Name	3	42 · Jesus Friend of Children	3
43	43 · All Things Praise Thee	3	43 · My Soul Be on Thy Guard	4
44	44 · Glory be to God the Father	3	44 · Blessed Be the Name	1
45	45 · Come Into the Holy	1	45 · Grant Us Lord the Grace of Giving	1
47	47 · Holy Holy Holy	4	47 · Father We Thank Thee	1
48	48 · O Love That Will Not Let	4	48 · Nearer Still Nearer	1
49	49 · Great and Mighty is He	1	49 · Awake and Sing the Song	1
51	51 · Father of Mercies	3	51 · Savior Teach Me	1
52	52 · Father and Friend	3	52 · O God Our Help in Ages Past	1
53	53 · Father I Adore You	3	53 · The Son of God in His Glory	1
54	54 · We Bring the Sacrifice	1	54 · I Will Sing of My Redeemer	1
55	55 · I Will Bless Thee O Lord	2	55 · I Will Sing the Wondrous Story	1
56	56 · Lord We Praise You	3	56 · If You Keep Your Heart Singing	1
57	57 · Great is Thy Faithfulness	3	57 · In the Summer Land of Song	1
58	58 · A Charge to Keep	3	58 · I Love the Lord	1
60	60 · He is Exalted	1	60 · O What Singing in Heaven	1
61	61 · Be Exalted O God-Chambers	1	61 · Working and Singing	1
62	62 · I Exalt Thee	1	62 · Sing On	1
63	63 · I Will Call Upon the Lord	1	63 · Beautiful Valley of Eden	1
64	64 · I Worship You Almighty God	1	64 · When All of Gods Singers Get Home	1
66	66 · DOXOLOGY-Praise God From Whom	1	66 · In that Land of Perfect Love	1
67	67 · For The Beauty of the Earth	3	67 · At Calvary	1
68	68 · Give Thanks	1	68 · Sing of His Love (Stuckey)	1
69	69 · God Holds the Future	4	69 · Bring Them In	1
70	70 · Ah Lord God	1	70 · The New Song	1
